filename,hardware,model_size,arrival_rate,run_id,throughput_rps,avg_e2e_latency,avg_ttft,avg_tbt,total_requests,successful_requests,hourly_cost,cost_per_1k_req
ar.2_13b_2xgh200.jsonl,2xgh200,13b,2.0,0,1.931509550412827,5.428549280154818,0.054231502920508524,0.007827410600448425,595,595,2.98,0.4285652005193836
ar.3_13b_2xgh200.jsonl,2xgh200,13b,3.0,0,2.898167896479137,6.639974123052838,0.059372926075570855,0.009792366776182724,897,897,2.98,0.2856210569385612
ar.4_13b_2xgh200.jsonl,2xgh200,13b,4.0,0,3.7954894944173376,8.67952171899729,0.07071889584824026,0.01279745119283157,1188,1187,2.98,0.21809513081127724
ar.6.5_13b_2xgh200.jsonl,2xgh200,13b,6.5,0,5.419153915549981,29.992493996008537,6.959420620434065,0.034597979672424575,1880,1879,2.98,0.15275037223108065
ar.13_13b_2xgh200.jsonl,2xgh200,13b,13.0,0,5.312563149585859,215.99499218555928,189.48539862956994,0.040734816570075896,3813,3813,2.98,0.15581514129244886
ar.26_13b_2xgh200.jsonl,2xgh200,13b,26.0,0,5.258662001107742,594.4879897804267,567.3928513478004,0.040696586618363985,7866,7866,2.98,0.15741224243037596
ar.1_13b_2xh100_0.jsonl,2xh100,13b,1.0,0,0.7436327892699006,4.671340920204917,0.049635827326112325,0.007323441888330356,298,225,0.576,0.21515995839436847
ar.2_13b_2xh100_0.jsonl,2xh100,13b,2.0,0,1.9241236718483157,6.456074924638667,0.05964995171843457,0.009333352247239152,595,595,0.576,0.08315473809763162
ar.3_13b_2xh100_0.jsonl,2xh100,13b,3.0,0,2.8842392940631187,8.767890386731928,0.07111180847803486,0.012906094813913839,897,897,0.576,0.055473899245926626
ar.4_13b_2xh100_0.jsonl,2xh100,13b,4.0,0,3.7366681872234184,14.455810029901526,0.09978146689748603,0.021383654090658667,1188,1187,0.576,0.042818894261759465
ar.6.5_13b_2xh100_0.jsonl,2xh100,13b,6.5,0,3.9250769711745654,98.29756825729687,63.05418694521657,0.05298838377279341,1880,1879,0.576,0.04076353181734435
ar.1_13b_4x3090_0.jsonl,4x3090,13b,1.0,0,0.9342501953900748,18.005435709770996,0.2515799069858661,0.027818943299346865,298,297,0.234,0.06957451046917977
ar.2_13b_4x3090_0.jsonl,4x3090,13b,2.0,0,1.1471592499818,114.45998844700364,65.65973783597906,0.07268461375202022,595,595,0.234,0.05666170586257423
ar.3_13b_4x3090_0.jsonl,4x3090,13b,3.0,0,1.1395970673576528,262.77925365163793,209.39808702995867,0.08508208420661025,897,897,0.234,0.057037703818169194
ar.4_13b_4x3090_0.jsonl,4x3090,13b,4.0,0,1.1605734790372912,362.7172621753414,308.27939288756886,0.0827111807080316,1188,1187,0.234,0.056006794204808336
